date,count
2020-07-17,286
2020-06-17,290
2020-01-02,181
2020-10-09,209
2020-08-05,269
2020-03-24,158
2020-06-02,218
2020-11-22,198
2020-05-01,258
2020-03-06,217
2020-01-23,263
2020-04-03,186
2020-10-18,269
2020-04-14,255
2020-01-15,207
2020-05-31,211
2020-01-09,172
2020-04-24,189
2020-10-23,218
2020-09-20,205
2020-05-06,182
2020-02-01,210
2020-07-20,198
2020-04-16,172
2020-10-24,292
2020-02-19,242
2020-08-11,270
2020-05-22,195
2020-02-09,140
2020-07-03,214
2020-02-17,198
2020-11-04,146
2020-06-20,226
2020-08-07,261
2020-10-22,207
2020-11-29,225
2020-02-10,144
2020-04-10,173
2020-06-14,181
2020-02-27,150
2020-05-10,195
2020-11-28,153
2020-02-28,106
2020-12-05,151
